ID,GSE13432_7d,GSE13432_35d,GSE51080_10d,GSE74899_14d,GSE86338_C,GSE86338_A,GSE98132_Adre_3d,GSE108077_7d,GSE110420_10d,GSE148361
R-MMU-194138,0,1,0,0,0,0,0,0,0,0
R-MMU-1236974,0,1,0,0,0,0,0,0,0,0
R-MMU-9009391,0,1,0,0,0,0,0,0,0,0
R-MMU-1433557,0,1,0,0,0,0,0,0,0,0
R-MMU-166786,0,1,0,0,0,0,0,0,0,0
R-MMU-983170,0,1,0,0,0,0,0,0,0,0
mmu04630,0,1,0,0,0,0,0,0,0,0
mmu01521,0,1,0,0,0,0,0,0,0,0
R-MMU-453279,0,1,0,0,0,0,0,0,0,0
R-MMU-114294,0,1,0,0,0,0,0,0,0,0
R-MMU-1236973,0,1,0,0,0,0,0,0,0,0
mmu05223,0,1,0,0,0,0,0,0,0,0
mmu04068,0,1,0,0,0,0,0,0,0,0
mmu05160,0,1,0,0,0,0,0,0,0,0
mmu05020,0,1,0,0,0,0,0,0,0,0
R-MMU-2454202,0,1,0,0,0,0,0,0,0,0
mmu05161,0,1,0,0,0,0,0,0,0,0
R-MMU-512988,0,1,0,0,0,0,0,0,0,0
mmu05214,0,1,0,0,0,0,0,0,0,0
mmu04923,0,1,0,0,0,0,0,0,0,0
R-MMU-9013694,0,1,0,0,0,0,0,0,0,0
mmu05231,0,1,0,0,0,0,0,0,0,0
mmu01524,0,1,0,0,0,0,0,0,0,0
mmu04071,0,1,0,0,0,0,0,0,0,0
R-MMU-109581,0,1,0,0,0,0,0,0,0,0
mmu04014,0,1,0,0,0,0,0,0,0,0
R-MMU-194315,0,1,0,0,0,0,0,0,0,0
R-MMU-9614399,0,1,0,0,0,0,0,0,0,0
R-MMU-69206,0,1,0,0,0,0,0,0,0,0
R-MMU-5357801,0,1,0,0,0,0,0,0,0,0
R-MMU-202424,0,1,0,0,0,0,0,0,0,0
R-MMU-450531,0,1,0,0,0,0,0,0,0,0
R-MMU-186712,0,1,0,0,0,0,0,0,0,0
R-MMU-210745,0,1,0,0,0,0,0,0,0,0
R-MMU-211163,0,1,0,0,0,0,0,0,0,0
mmu04810,0,1,0,0,0,0,0,0,0,0
R-MMU-72203,1,0,0,0,0,0,0,0,0,0
R-MMU-72202,1,0,0,0,0,0,0,0,0,0
