GeneSymbol,ArrayNostre,GSE13432_7d,GSE13432_35d,GSE51080_10d,GSE55934_Adre_10d,GSE98132_Adre_3d,GSE108077_7d,GSE110420_10d
Gm7391,1,0,0,0,0,0,0,0
Gm7398,1,0,0,0,0,0,0,0
Gm7762,1,0,0,0,0,0,0,0
Gm8814,1,0,0,0,0,0,0,0
Gm8979,1,0,0,0,0,0,0,0
Gm8989,1,0,0,0,0,0,0,0
Gm8995,1,0,0,0,0,0,0,0
Gm906,1,0,0,0,0,0,0,0
Gnal,1,0,0,0,0,0,1,0
Hacd4,1,0,0,0,0,0,0,0
Has2,1,0,0,0,0,0,0,0
Herc6,1,0,0,0,1,0,1,0
Hist1h2bb,1,0,0,0,0,0,1,0
Hmha1,1,0,1,0,0,0,0,0
Hpse,1,0,0,0,0,0,0,0
Htra1,1,0,0,0,0,0,1,0
Ifi203,1,1,0,0,0,0,0,0
Ifi204,1,1,1,0,0,0,0,0
Ifi44,1,0,0,0,0,0,1,0
Ifit1,1,0,0,0,1,0,1,0
Ifitm3,1,0,0,0,1,0,0,0
Ighv1-19,1,0,0,0,0,0,0,0
Ighv9-2,1,0,0,0,0,0,0,0
Igk-V1,1,0,0,0,0,0,0,0
Igkv1-110,1,0,0,0,0,0,0,0
Igkv1-117,1,1,1,0,0,0,0,0
Igk-V5,1,0,0,0,0,0,0,0
Igsf10,1,0,0,0,0,0,0,0
Igtp,1,0,0,0,0,0,1,0
Iigp1,1,1,0,0,1,0,0,0
Il1r2,1,1,0,0,0,1,0,0
Itgam,1,0,0,0,0,0,0,0
Kdelc2,1,1,0,0,0,0,1,0
Kdelr3,1,0,0,0,0,0,0,0
Kmo,1,0,0,0,1,0,0,0
Lair1,1,0,0,0,0,0,0,0
Lctl,1,0,0,0,0,1,0,0
Lep,1,0,0,0,0,1,1,0
LOC100041504,1,0,0,0,0,0,0,0
Loxl2,1,0,0,0,0,0,0,0
Lpar4,1,0,0,0,0,0,1,0
Lrrc17,1,0,0,0,0,0,0,0
Lum,1,0,0,0,0,0,0,0
Ly86,1,1,0,0,1,0,0,1
Lyz2,1,0,0,0,0,0,0,0
Mcpt4,1,0,1,0,0,0,0,1
Mir296,1,0,0,0,0,0,0,0
Mir493,1,0,0,0,0,0,0,0
Mki67,1,0,0,0,0,0,0,0
Mmp2,1,0,0,0,0,0,0,0
Mmp3,1,1,0,0,0,0,1,0
Mnda,1,1,1,0,0,0,1,0
Mndal,1,1,0,0,0,0,0,0
Mrc1,1,1,0,0,1,0,0,0
Ms4a14,1,0,0,0,0,0,0,0
Ms4a6b,1,1,0,0,0,0,0,0
Ms4a6c,1,0,0,0,0,0,0,0
Ms4a7,1,0,0,0,0,0,0,0
Msr1,1,0,0,0,1,0,0,0
mt-Th,1,0,0,0,0,0,0,0
mt-Tl2,1,0,0,0,0,0,0,0
mt-Ts2,1,0,0,0,0,0,0,0
mt-Tt,1,0,0,0,0,0,0,0
Naaa,1,1,0,0,0,0,1,0
Ncam2,1,0,0,0,0,1,1,0
Nnat,1,1,1,1,0,1,1,1
Npl,1,0,0,0,0,0,0,0
n-R5s136,1,0,0,0,0,0,0,0
n-R5s71,1,0,0,0,0,0,0,0
Nucb2,1,0,0,0,0,0,1,0
Oas1a,1,0,0,0,0,0,1,0
Oas1g,1,0,0,0,0,0,0,1
Oas2,1,0,0,0,0,0,0,0
Oasl2,1,1,0,0,0,0,1,0
Olfr1487,1,0,0,0,0,0,0,0
Olfr175-ps1,1,0,0,0,0,0,0,0
Olfr294,1,0,0,0,0,0,0,0
Olfr376,1,0,0,0,0,0,0,0
Olfr503,1,0,0,0,0,0,0,0
Olfr765,1,0,0,0,0,0,0,0
Olfr776,1,0,0,0,0,0,0,0
P2ry12,1,0,0,0,0,0,0,0
Pcdh18,1,0,0,0,0,0,1,0
Phf11b,1,0,0,0,0,0,0,0
Pi15,1,0,0,0,0,0,0,0
Pirb,1,0,0,0,0,0,0,0
Pld4,1,0,0,0,0,0,0,0
Postn,1,0,0,0,0,0,0,0
Praf2,1,0,0,0,0,0,0,0
Ptprc,1,1,0,0,0,0,0,0
Pydc3,1,0,0,0,0,0,0,1
Pydc4,1,1,0,0,0,0,0,1
Pyhin1,1,1,0,0,0,0,0,1
Rcn1,1,1,0,0,0,0,0,0
Rcn3,1,0,0,0,0,0,0,0
Rian,1,0,0,1,0,0,0,0
Rnf213,1,0,0,0,0,0,1,0
Rpgr,1,0,0,0,0,0,0,1
Rtp4,1,0,0,0,1,0,1,0
Saa3,1,0,0,0,1,0,1,0
Sfrp2,1,1,0,0,0,1,0,0
Sfrp4,1,0,0,0,0,1,1,0
Siglec1,1,0,0,0,1,1,1,0
Sirpb1b,1,0,0,0,0,0,0,0
Slfn1,1,1,0,0,0,0,0,0
Slfn2,1,0,0,0,0,0,0,0
Slfn4,1,0,0,0,0,0,0,0
Slfn9,1,0,0,0,0,0,0,0
Spon2,1,0,0,0,0,0,0,0
Srpx,1,0,0,0,0,0,1,1
St8sia4,1,1,0,0,0,0,0,0
Thy1,1,1,0,0,0,0,0,0
Tlr1,1,1,0,0,0,0,0,0
Tlr8,1,0,0,0,0,0,0,0
Tmem100,1,0,0,0,0,0,0,0
Tyrobp,1,0,0,0,0,0,0,0
Vcan,1,0,0,0,0,0,0,0
Vmn1r115,1,0,0,0,0,0,0,0
Vmn1r124,1,0,0,0,0,0,0,0
Vmn1r157,1,0,0,0,0,0,0,0
Vmn1r212,1,0,0,0,0,0,0,0
Vmn1r57,1,0,0,0,0,0,0,0
Vmn2r17,1,0,0,0,0,0,0,0
Vmn2r38,1,0,0,0,0,0,0,0
Vmn2r6,1,0,0,0,0,0,0,0
Vmn2r74,1,0,0,0,0,0,0,0
Vmn2r98,1,0,0,0,0,0,0,0
Wfdc17,1,0,0,0,1,0,0,0
Zbp1,1,0,0,0,1,0,1,0
Zcchc5,1,0,0,0,0,0,0,0
43891,0,1,0,0,1,0,0,0
44080,0,1,1,0,0,0,1,0
0610010B08Rik,0,1,0,0,0,0,0,0
1190002N15Rik,0,1,0,0,0,0,0,0
1810026B05Rik,0,1,0,0,0,0,0,0
2210404O09Rik,0,1,0,0,0,0,0,0
2310035C23Rik,0,1,0,0,0,0,0,0
2610005L07Rik,0,1,0,0,0,0,0,0
2810474O19Rik,0,1,0,0,0,0,0,0
3110039I08Rik,0,1,0,0,0,0,0,0
4932438A13Rik,0,1,0,0,0,0,0,0
9530053H05Rik,0,1,1,0,0,0,0,0
A230046K03Rik,0,1,0,0,0,0,0,0
Abca8a,0,1,0,0,0,0,1,0
Abi1,0,1,0,0,0,0,0,0
Abi3bp,0,1,0,0,0,0,1,0
Acap1,0,1,0,0,0,0,0,0
Acap2,0,1,0,0,0,0,1,0
Actn1,0,1,0,0,0,0,1,0
Adar,0,1,1,0,0,0,1,0
Adcy7,0,1,1,0,0,0,0,0
Aff3,0,1,0,0,0,0,0,0
Aftph,0,1,0,0,0,0,0,0
Agfg1,0,1,0,0,0,0,0,0
Ahr,0,1,0,0,1,0,0,0
