Anon_GS,GSE_A,GSE_B,GSE_C,GSE_D,GSE_E,GSE_F,GSE_G,GSE_H,,,,,,
126a,1,0,0,1,1,1,1,1,,,,,,
127a,0,0,0,0,0,1,0,0,,,,,,
128a,0,0,0,0,0,1,1,0,,,,,,
129a,1,0,0,0,0,0,0,0,,,,,,
130a,0,1,0,0,1,0,1,0,,,,,,
131a,0,0,0,0,1,0,0,0,,,,,,
132a,0,0,0,0,0,0,1,0,,,,,,
133a,1,0,0,0,1,1,1,1,,,,,,
134a,1,0,0,0,1,0,0,0,,,,,,
135a,1,1,0,0,0,1,1,0,,,,,,
136a,0,0,1,0,0,0,1,0,,,,,,
137a,0,0,0,0,1,1,1,0,,,,,,
138a,0,0,0,0,0,1,1,0,,,,,,
139a,0,0,0,0,1,0,1,0,,,,,,
140a,1,1,1,0,1,0,1,1,,,,,,
141a,0,0,0,0,1,0,0,0,,,,,,
142a,0,0,0,0,0,1,1,0,,,,,,
143a,0,0,0,0,1,0,1,0,,,,,,
144a,1,1,1,1,0,1,1,1,,,,,,
145a,1,0,0,0,1,0,0,0,,,,,,
146a,0,1,1,0,1,1,1,0,,,,,,
147a,0,0,1,1,1,0,1,0,,,,,,
148a,0,0,0,0,1,0,1,0,,,,,,
149a,0,0,0,0,1,1,0,0,,,,,,
150a,0,1,0,0,1,1,1,1,,,,,,
151a,0,0,0,0,1,0,0,0,,,,,,
152a,0,0,0,0,1,1,0,0,,,,,,
153a,1,1,1,1,1,1,1,1,,,,,,
154a,0,0,1,1,1,0,0,1,,,,,,
155a,0,0,0,0,1,1,1,0,,,,,,
156a,0,0,0,0,0,1,1,0,,,,,,
157a,0,1,1,0,0,1,1,0,,,,,,
158a,0,0,1,0,0,0,1,1,,,,,,
159a,0,0,0,0,1,0,0,0,,,,,,
160a,0,0,0,1,0,1,0,0,,,,,,
161a,0,0,0,1,1,1,1,0,,,,,,
162a,1,1,1,0,1,1,1,1,,,,,,
163a,0,0,0,1,0,1,1,0,,,,,,
164a,0,0,0,0,1,0,0,0,,,,,,
165a,0,0,0,0,0,1,0,0,,,,,,
166a,1,0,0,0,0,1,1,0,,,,,,
167a,1,0,0,0,1,0,1,1,,,,,,
168a,0,1,1,0,1,1,1,0,,,,,,
169a,0,0,0,1,0,0,0,0,,,,,,
170a,0,0,0,0,1,0,0,0,,,,,,
171a,1,1,0,1,1,1,1,1,,,,,,
172a,1,1,1,0,1,0,1,1,,,,,,
173a,0,0,0,0,1,0,0,0,,,,,,
174a,1,0,1,1,1,1,1,1,,,,,,
175a,0,1,1,0,1,1,1,0,,,,,,
176a,0,0,0,0,1,0,0,0,,,,,,
177a,0,0,0,0,1,1,0,1,,,,,,
178a,1,1,0,0,0,1,1,1,,,,,,
179a,0,0,0,1,0,0,1,1,,,,,,
180a,0,1,1,0,1,1,1,0,,,,,,
181a,0,0,0,1,1,0,1,0,,,,,,
182a,0,0,0,0,1,0,0,0,,,,,,
183a,1,1,1,1,1,1,1,1,,,,,,
184a,0,0,0,0,0,1,1,0,,,,,,
185a,0,0,0,0,1,1,1,1,,,,,,
186a,0,0,0,1,0,1,1,0,,,,,,
187a,0,0,0,0,1,0,0,0,,,,,,
188a,0,0,0,0,0,1,0,0,,,,,,
189a,0,1,0,0,0,0,1,0,,,,,,
190a,1,1,0,0,1,1,1,1,,,,,,
191a,1,0,0,0,0,0,1,0,,,,,,
192a,0,0,0,0,1,0,0,0,,,,,,
193a,1,0,0,0,1,1,1,1,,,,,,
194a,0,0,0,0,0,0,0,1,,,,,,
195a,0,0,1,0,0,0,1,0,,,,,,
196a,0,0,0,1,1,0,0,0,,,,,,
197a,0,0,0,0,1,0,0,0,,,,,,
198a,0,0,0,0,0,1,1,0,,,,,,
199a,1,0,0,0,0,0,1,0,,,,,,
200a,0,0,0,0,1,0,0,1,,,,,,
201a,0,1,0,0,1,0,1,0,,,,,,
202a,0,0,1,1,0,0,0,0,,,,,,
203a,1,0,0,0,0,1,0,0,,,,,,
204a,0,0,0,0,0,0,1,0,,,,,,
205a,1,0,0,0,0,0,0,1,,,,,,
206a,0,1,0,0,1,0,0,0,,,,,,
207a,0,0,0,0,1,1,1,0,,,,,,
208a,0,0,0,0,0,0,1,0,,,,,,
209a,0,0,0,0,0,1,1,1,,,,,,
210a,1,0,0,0,0,0,1,0,,,,,,
211a,0,0,0,0,1,0,0,0,,,,,,
212a,1,1,0,0,1,1,1,0,,,,,,
213a,0,0,0,0,0,0,1,0,,,,,,
214a,1,1,1,1,0,1,1,1,,,,,,
215a,1,1,0,1,1,0,1,0,,,,,,
216a,1,0,0,0,1,1,0,0,,,,,,
217a,0,0,0,0,1,0,1,0,,,,,,
218a,0,1,1,0,1,0,1,0,,,,,,
219a,0,0,0,0,1,0,0,0,,,,,,
220a,0,0,0,0,0,1,0,0,,,,,,
221a,0,0,0,0,0,0,1,0,,,,,,
222a,0,0,1,0,1,1,1,0,,,,,,
223a,0,0,0,1,0,0,1,0,,,,,,
224a,0,0,0,0,1,0,0,0,,,,,,
225a,0,0,0,0,1,0,1,0,,,,,,
226a,1,0,0,1,0,0,1,1,,,,,,
227a,0,1,0,0,1,1,1,0,,,,,,
228a,0,1,1,1,1,1,1,0,,,,,,
229a,0,0,0,0,1,0,0,0,,,,,,
230a,0,0,0,0,0,1,0,0,,,,,,
231a,1,0,0,0,1,1,1,1,,,,,,
232a,1,1,1,0,0,0,1,1,,,,,,
233a,0,1,0,0,0,0,0,0,,,,,,
234a,0,0,0,0,0,1,0,0,,,,,,
235a,0,0,0,0,0,0,1,0,,,,,,
236a,0,1,0,0,1,1,1,0,,,,,,
237a,0,0,0,0,1,0,0,0,,,,,,
238a,0,0,0,0,0,0,1,0,,,,,,
239a,1,0,1,1,1,0,1,1,,,,,,
240a,1,0,0,1,1,0,1,0,,,,,,
241a,0,1,0,0,0,0,1,0,,,,,,
242a,0,0,0,0,1,0,0,0,,,,,,
243a,0,0,0,1,1,1,0,0,,,,,,
244a,0,0,0,1,0,1,1,1,,,,,,
245a,1,1,1,1,0,1,1,1,,,,,,
246a,1,0,0,0,0,0,1,0,,,,,,
247a,0,1,0,1,1,0,1,0,,,,,,
248a,0,0,0,0,1,0,0,0,,,,,,
249a,0,0,0,0,0,1,1,0,,,,,,
250a,0,1,1,1,1,1,1,1,,,,,,
251a,1,0,0,0,0,0,1,1,,,,,,
252a,1,0,0,0,0,1,1,0,,,,,,
253a,0,1,0,0,1,1,1,0,,,,,,
254a,0,0,0,0,1,0,0,0,,,,,,
255a,0,0,0,0,0,1,1,0,,,,,,
256a,1,0,0,1,1,0,1,1,,,,,,
257a,0,1,0,0,1,1,1,1,,,,,,
258a,1,0,0,1,1,0,0,0,,,,,,
259a,0,0,0,0,1,0,0,0,,,,,,
260a,1,1,0,1,1,1,1,1,,,,,,
261a,0,0,0,0,0,0,1,0,,,,,,
262a,1,0,0,0,1,1,1,1,,,,,,
263a,0,0,0,1,1,0,0,0,,,,,,
264a,0,0,0,0,1,0,1,0,,,,,,
265a,0,1,0,1,0,1,1,0,,,,,,
266a,0,0,0,0,0,1,1,1,,,,,,
267a,0,0,1,0,0,0,1,0,,,,,,
268a,0,0,0,1,0,0,0,0,,,,,,
269a,0,0,0,0,1,1,1,0,,,,,,
270a,0,0,0,1,0,0,1,0,,,,,,
271a,0,1,1,1,1,0,1,0,,,,,,
272a,0,0,0,0,1,0,0,0,,,,,,
273a,0,0,0,0,0,1,0,0,,,,,,
274a,0,0,0,0,1,0,1,0,,,,,,
275a,0,1,0,0,1,0,0,0,,,,,,
276a,0,0,0,1,1,0,0,0,,,,,,
277a,0,0,0,0,1,0,0,0,,,,,,
278a,0,1,0,1,1,1,1,0,,,,,,
279a,1,0,1,0,0,1,0,0,,,,,,
280a,0,0,0,0,1,1,0,0,,,,,,
281a,0,0,0,0,0,0,1,0,,,,,,
282a,0,1,1,0,1,1,1,0,,,,,,
283a,0,0,0,0,1,0,0,0,,,,,,
284a,0,0,0,0,0,1,0,0,,,,,,
285a,0,0,0,0,0,0,1,0,,,,,,
286a,0,1,1,0,1,1,1,1,,,,,,
287a,1,0,0,0,0,0,1,0,,,,,,
288a,0,1,1,0,1,0,1,0,,,,,,
289a,0,0,0,1,1,1,1,0,,,,,,
290a,1,1,1,1,0,1,1,1,,,,,,
291a,0,1,1,0,0,1,1,1,,,,,,
292a,0,0,0,0,1,0,0,0,,,,,,
293a,0,0,0,0,0,1,1,0,,,,,,
294a,1,1,1,1,1,1,1,1,,,,,,
295a,1,1,0,0,1,1,1,1,,,,,,
296a,1,0,0,0,0,0,0,0,,,,,,
297a,0,1,0,0,0,0,1,0,,,,,,
298a,0,0,1,0,0,0,1,0,,,,,,
299a,0,0,0,0,1,0,0,0,,,,,,
300a,0,1,0,0,0,1,1,0,,,,,,
301a,0,0,0,0,0,0,1,0,,,,,,
302a,0,1,1,1,1,1,1,1,,,,,,
303a,1,0,0,0,1,0,1,0,,,,,,
304a,0,0,0,1,0,0,0,0,,,,,,
305a,0,0,0,0,1,0,0,0,,,,,,
306a,0,1,1,1,0,1,1,1,,,,,,
307a,0,0,0,0,0,0,1,0,,,,,,
308a,1,0,0,0,0,0,1,0,,,,,,
309a,0,1,1,0,1,1,1,0,,,,,,
310a,0,0,0,0,0,0,1,0,,,,,,
311a,1,0,0,0,1,0,0,1,,,,,,
312a,1,0,0,0,0,0,1,0,,,,,,
313a,0,1,1,0,1,1,1,0,,,,,,
314a,0,0,0,1,1,0,0,0,,,,,,
315a,0,0,0,0,1,0,0,0,,,,,,
316a,1,1,0,0,1,0,0,0,,,,,,
317a,1,0,1,0,0,0,1,0,,,,,,
318a,0,0,0,0,1,0,1,0,,,,,,
319a,0,0,0,0,0,1,1,0,,,,,,
320a,0,0,0,0,0,0,0,1,,,,,,
321a,0,1,0,0,1,1,1,0,,,,,,
322a,0,0,0,0,1,0,0,0,,,,,,
323a,0,0,0,0,0,1,0,0,,,,,,
324a,1,1,1,1,0,0,1,1,,,,,,
325a,1,0,0,0,1,0,1,0,,,,,,
326a,0,1,0,1,1,0,1,0,,,,,,
327a,0,0,0,0,1,0,0,0,,,,,,
328a,0,1,0,0,0,1,1,1,,,,,,
329a,0,0,0,0,0,0,1,0,,,,,,
330a,1,1,1,0,1,1,1,1,,,,,,
331a,1,0,0,0,0,0,0,0,,,,,,
332a,0,1,0,1,1,0,0,0,,,,,,
333a,0,0,0,0,1,0,0,0,,,,,,
334a,0,1,0,0,1,1,1,0,,,,,,
335a,0,0,0,0,0,0,1,0,,,,,,
336a,1,1,0,1,0,1,1,0,,,,,,
337a,0,0,0,0,1,0,0,0,,,,,,
338a,0,1,0,0,1,0,1,0,,,,,,
339a,1,0,0,0,1,0,0,0,,,,,,
340a,1,0,0,1,1,1,1,1,,,,,,
341a,0,0,0,0,0,0,1,0,,,,,,
342a,1,1,1,1,1,1,1,1,,,,,,
343a,0,1,1,0,1,0,1,0,,,,,,
344a,0,0,0,1,0,0,0,0,,,,,,
345a,0,0,0,0,1,0,0,0,,,,,,
346a,0,1,1,1,1,0,1,0,,,,,,
347a,1,1,0,0,1,1,1,1,,,,,,
348a,0,1,0,0,0,1,1,0,,,,,,
349a,0,1,1,0,0,0,1,0,,,,,,
350a,0,0,0,1,0,0,0,0,,,,,,
351a,0,0,0,0,1,0,0,0,,,,,,
352a,1,0,0,0,0,1,1,0,,,,,,
353a,1,0,0,0,1,0,1,1,,,,,,
354a,1,0,0,0,1,0,0,0,,,,,,
355a,1,1,1,0,1,1,1,0,,,,,,
356a,0,0,0,1,0,0,0,0,,,,,,
357a,0,0,0,0,1,0,1,0,,,,,,
358a,0,0,0,0,0,1,0,0,,,,,,
359a,1,0,0,0,1,0,1,0,,,,,,
360a,0,0,0,0,1,0,0,1,,,,,,
361a,0,1,0,0,1,0,1,0,,,,,,
362a,0,0,0,1,0,0,0,0,,,,,,
363a,0,0,0,0,1,1,1,1,,,,,,
364a,0,1,1,0,0,0,0,0,,,,,,
365a,0,1,0,1,0,0,1,0,,,,,,
366a,0,0,0,0,0,1,1,0,,,,,,
367a,0,0,0,0,0,1,1,0,,,,,,
368a,0,0,0,0,0,0,1,1,,,,,,
369a,1,0,0,0,1,0,1,0,,,,,,
370a,0,1,1,0,1,0,0,0,,,,,,
371a,0,0,0,1,0,0,0,0,,,,,,
372a,0,0,0,0,0,1,0,0,,,,,,
373a,1,0,0,1,1,1,1,0,,,,,,
374a,1,0,0,0,1,0,1,0,,,,,,
375a,0,1,0,0,1,1,1,0,,,,,,
376a,0,0,0,0,1,0,0,0,,,,,,
377a,0,0,0,0,0,1,0,0,,,,,,
378a,0,0,0,0,1,0,1,0,,,,,,
379a,0,1,1,0,1,0,1,1,,,,,,
380a,1,0,0,0,0,1,1,0,,,,,,
381a,0,0,1,0,1,0,0,0,,,,,,
382a,0,0,0,1,1,0,1,0,,,,,,
383a,0,0,0,0,1,0,0,0,,,,,,
384a,0,0,0,1,1,1,1,0,,,,,,
385a,0,0,0,0,0,0,1,0,,,,,,
386a,1,1,1,1,1,1,1,1,,,,,,
387a,0,0,1,0,1,0,1,0,,,,,,
388a,0,0,0,1,1,0,0,0,,,,,,
389a,0,0,0,0,1,0,0,0,,,,,,
390a,0,0,0,0,0,1,1,0,,,,,,
391a,1,0,0,0,1,0,0,1,,,,,,
392a,1,0,0,0,1,1,1,0,,,,,,
393a,0,1,0,0,1,0,0,0,,,,,,
394a,0,0,1,0,1,0,1,0,,,,,,
395a,0,0,0,1,0,0,0,0,,,,,,
396a,0,0,0,0,1,0,1,0,,,,,,
397a,0,0,0,0,0,1,0,0,,,,,,
398a,0,0,0,0,0,0,1,0,,,,,,
399a,0,1,0,0,1,1,1,1,,,,,,
400a,0,1,0,0,1,0,1,0,,,,,,
401a,0,1,1,0,1,1,1,0,,,,,,
402a,0,0,0,1,1,0,1,0,,,,,,
403a,0,0,0,0,1,0,1,0,,,,,,
404a,0,0,0,0,0,1,0,0,,,,,,
405a,0,0,0,0,1,0,1,0,,,,,,
406a,1,0,0,0,1,1,1,0,,,,,,
