Anon_GS,GSE_A,GSE_B,GSE_C,GSE_D,GSE_E,GSE_F,GSE_G,GSE_H,,,,,,
1697a,0,0,0,0,1,0,0,0,,,,,,
1698a,1,0,0,0,0,0,0,0,,,,,,
1699a,0,1,1,0,1,0,0,0,,,,,,
1700a,0,0,1,0,0,0,0,0,,,,,,
1701a,0,0,0,0,1,0,1,0,,,,,,
1702a,0,0,0,0,0,1,1,0,,,,,,
1703a,1,0,0,0,0,0,0,0,,,,,,
1704a,0,1,0,0,1,0,0,0,,,,,,
1705a,0,0,1,0,1,0,0,0,,,,,,
1706a,0,0,0,1,0,0,0,0,,,,,,
1707a,0,0,0,0,1,0,0,0,,,,,,
1708a,0,0,0,0,0,1,1,0,,,,,,
1709a,1,1,0,0,0,0,1,0,,,,,,
1710a,0,1,0,0,0,0,1,0,,,,,,
1711a,0,0,1,0,0,0,0,0,,,,,,
1712a,0,0,0,1,0,0,0,0,,,,,,
1713a,0,0,0,0,1,0,1,0,,,,,,
1714a,0,0,0,0,0,0,1,0,,,,,,
1715a,1,0,0,0,0,1,1,0,,,,,,
1716a,0,1,0,0,0,0,1,0,,,,,,
1717a,0,0,1,0,0,0,1,0,,,,,,
1718a,0,0,0,1,0,0,0,0,,,,,,
1719a,0,0,0,0,1,0,0,0,,,,,,
1720a,1,0,0,0,0,0,0,0,,,,,,
1721a,0,1,1,0,1,0,1,0,,,,,,
1722a,0,0,0,1,0,0,0,0,,,,,,
1723a,0,0,0,0,0,0,1,0,,,,,,
1724a,1,0,0,0,0,0,0,0,,,,,,
1725a,0,1,0,0,1,0,1,0,,,,,,
1726a,0,0,1,0,0,0,0,0,,,,,,
1727a,0,0,0,1,0,0,0,0,,,,,,
1728a,0,0,0,0,1,1,1,0,,,,,,
1729a,0,0,0,0,0,0,1,0,,,,,,
1730a,1,0,0,0,1,0,0,0,,,,,,
1731a,0,1,0,0,1,1,0,0,,,,,,
1732a,0,0,1,0,0,0,0,0,,,,,,
1733a,0,0,0,1,0,0,1,0,,,,,,
1734a,0,0,0,0,1,0,0,0,,,,,,
1735a,1,0,0,0,0,0,0,0,,,,,,
1736a,0,0,1,0,0,0,0,0,,,,,,
1737a,0,0,0,1,0,0,0,0,,,,,,
1738a,0,0,0,0,1,1,1,0,,,,,,
1739a,0,0,0,0,0,0,1,0,,,,,,
1740a,1,0,0,0,1,0,0,0,,,,,,
1741a,0,1,0,0,1,0,1,0,,,,,,
1742a,0,1,1,0,0,0,1,0,,,,,,
1743a,0,0,0,0,1,0,1,0,,,,,,
1744a,0,0,0,0,0,1,1,0,,,,,,
1745a,0,0,0,0,0,0,1,0,,,,,,
1746a,0,1,0,0,1,0,1,0,,,,,,
1747a,0,1,1,0,1,0,1,0,,,,,,
1748a,0,0,0,0,1,0,0,0,,,,,,
1749a,0,0,0,0,1,0,1,0,,,,,,
1750a,0,1,1,0,0,0,0,0,,,,,,
1751a,0,1,1,0,0,0,0,0,,,,,,
1752a,0,0,0,1,0,0,1,0,,,,,,
1753a,0,0,0,0,1,0,0,0,,,,,,
1754a,0,1,0,0,0,0,0,0,,,,,,
1755a,0,0,0,1,0,0,0,0,,,,,,
1756a,0,0,0,0,1,0,0,0,,,,,,
1757a,0,0,0,0,0,1,0,0,,,,,,
1758a,0,1,0,0,1,1,1,0,,,,,,
1759a,0,1,0,0,0,1,1,0,,,,,,
1760a,0,1,1,0,0,0,0,0,,,,,,
1761a,0,0,0,1,0,0,0,0,,,,,,
1762a,0,0,0,0,1,0,1,0,,,,,,
1763a,0,0,0,0,0,0,1,0,,,,,,
1764a,0,0,1,0,0,0,1,0,,,,,,
1765a,0,0,0,0,1,1,1,0,,,,,,
1766a,0,0,0,0,1,0,1,0,,,,,,
1767a,0,0,1,0,0,0,0,0,,,,,,
1768a,0,0,0,1,0,0,0,0,,,,,,
1769a,0,0,0,0,1,0,0,0,,,,,,
1770a,0,0,0,0,0,1,1,0,,,,,,
1771a,1,0,0,0,0,0,1,0,,,,,,
1772a,0,1,0,0,1,0,1,0,,,,,,
1773a,0,0,0,1,0,0,1,0,,,,,,
1774a,0,0,0,0,1,0,0,0,,,,,,
1775a,0,0,0,0,0,1,0,0,,,,,,
1776a,0,0,0,0,1,0,1,0,,,,,,
1777a,1,0,0,0,1,0,0,0,,,,,,
1778a,0,0,0,1,0,0,0,0,,,,,,
1779a,0,1,0,0,1,0,1,0,,,,,,
1780a,0,1,0,0,0,1,1,0,,,,,,
1781a,0,0,0,0,0,0,1,0,,,,,,
1782a,0,1,0,0,1,0,1,0,,,,,,
1783a,0,0,0,1,0,0,0,0,,,,,,
1784a,0,0,0,0,1,0,0,0,,,,,,
1785a,0,1,0,0,0,1,1,0,,,,,,
1786a,0,0,0,1,0,0,0,0,,,,,,
1787a,0,0,0,0,1,0,0,0,,,,,,
1788a,0,1,0,0,0,1,1,0,,,,,,
1789a,0,1,1,0,0,0,1,0,,,,,,
1790a,0,0,0,1,0,0,0,0,,,,,,
1791a,0,0,0,0,1,0,1,0,,,,,,
1792a,0,0,0,0,0,1,1,0,,,,,,
1793a,0,1,0,0,0,0,1,0,,,,,,
1794a,0,1,1,0,0,0,0,0,,,,,,
1795a,0,0,0,0,1,0,0,0,,,,,,
1796a,0,1,0,0,0,0,1,0,,,,,,
1797a,0,1,1,0,1,0,0,0,,,,,,
1798a,0,0,0,1,1,0,1,0,,,,,,
1799a,0,0,0,0,1,0,1,0,,,,,,
1800a,0,1,0,0,1,1,1,0,,,,,,
1801a,0,0,0,0,0,0,1,0,,,,,,
1802a,1,0,0,0,0,0,0,0,,,,,,
1803a,0,0,0,1,0,0,0,0,,,,,,
1804a,0,0,0,0,0,1,1,0,,,,,,
1805a,1,0,0,0,0,0,0,0,,,,,,
1806a,0,1,1,0,0,0,0,0,,,,,,
1807a,0,0,0,1,0,0,0,0,,,,,,
1808a,0,0,0,0,1,0,1,0,,,,,,
1809a,1,0,0,0,0,0,0,0,,,,,,
1810a,0,0,0,1,0,0,0,0,,,,,,
1811a,1,0,0,0,0,0,0,0,,,,,,
1812a,0,0,1,0,0,0,0,0,,,,,,
1813a,0,0,0,1,0,0,0,0,,,,,,
1814a,0,0,0,0,0,1,1,0,,,,,,
1815a,0,0,0,0,0,0,1,0,,,,,,
1816a,1,0,0,0,0,0,0,0,,,,,,
1817a,0,1,1,0,1,0,0,0,,,,,,
1818a,0,1,1,0,0,0,0,0,,,,,,
1819a,0,0,0,1,0,0,0,0,,,,,,
1820a,0,0,0,0,0,1,0,0,,,,,,
1821a,1,0,0,0,1,0,0,0,,,,,,
1822a,0,1,0,0,0,0,1,0,,,,,,
1823a,0,0,1,0,0,0,0,0,,,,,,
1824a,0,1,0,0,1,0,1,0,,,,,,
1825a,0,1,1,0,0,0,1,0,,,,,,
1826a,0,0,0,1,0,0,0,0,,,,,,
1827a,0,0,0,0,1,0,1,0,,,,,,
1828a,0,0,0,0,0,1,0,0,,,,,,
1829a,0,0,0,0,0,0,1,0,,,,,,
1830a,1,0,0,0,0,0,0,0,,,,,,
1831a,0,0,1,0,1,0,0,0,,,,,,
1832a,0,0,0,0,1,0,1,0,,,,,,
1833a,0,0,1,0,0,0,0,0,,,,,,
1834a,0,0,0,1,0,0,0,0,,,,,,
1835a,0,0,0,0,1,0,0,0,,,,,,
1836a,1,0,0,0,0,0,0,0,,,,,,
1837a,0,0,1,0,1,0,0,0,,,,,,
1838a,0,0,0,0,1,0,1,0,,,,,,
1839a,0,0,0,0,1,1,1,0,,,,,,
1840a,1,0,0,0,0,0,0,0,,,,,,
1841a,0,1,1,0,0,0,0,0,,,,,,
1842a,0,0,0,1,0,0,0,0,,,,,,
1843a,0,1,0,0,1,1,1,0,,,,,,
1844a,1,0,0,0,0,0,0,0,,,,,,
1845a,0,0,0,0,1,0,0,0,,,,,,
1846a,0,1,1,0,1,0,0,0,,,,,,
1847a,0,0,0,1,1,0,0,0,,,,,,
1848a,0,0,0,0,1,0,0,0,,,,,,
1849a,0,0,1,0,0,0,0,0,,,,,,
1850a,0,0,0,0,0,1,0,0,,,,,,
1851a,0,0,0,0,1,0,1,0,,,,,,
1852a,0,0,0,1,0,0,0,0,,,,,,
1853a,0,1,0,0,0,0,0,0,,,,,,
1854a,0,0,1,0,1,0,0,0,,,,,,
1855a,0,0,0,1,0,0,0,0,,,,,,
1856a,0,0,0,0,0,1,1,0,,,,,,
1857a,0,0,0,0,0,0,1,0,,,,,,
1858a,1,0,0,0,0,0,0,0,,,,,,
1859a,0,0,0,1,0,0,0,0,,,,,,
1860a,0,0,0,0,1,0,0,0,,,,,,
1861a,0,0,0,0,0,0,1,0,,,,,,
1862a,1,0,0,0,0,0,0,0,,,,,,
1863a,0,1,1,0,0,0,0,0,,,,,,
1864a,0,0,0,1,0,0,0,0,,,,,,
1865a,0,0,0,0,1,0,0,0,,,,,,
1866a,0,0,0,0,0,1,0,0,,,,,,
1867a,0,0,0,0,0,0,1,0,,,,,,
1868a,0,1,0,0,1,1,1,0,,,,,,
1869a,0,0,0,1,1,0,0,0,,,,,,
1870a,0,0,0,0,1,0,0,0,,,,,,
1871a,0,0,1,0,0,0,0,0,,,,,,
1872a,0,0,0,1,0,0,0,0,,,,,,
1873a,0,0,0,0,1,0,0,0,,,,,,
1874a,0,0,0,0,0,1,0,0,,,,,,
1875a,0,0,0,0,1,0,1,0,,,,,,
1876a,0,1,0,0,1,1,1,0,,,,,,
1877a,0,0,1,0,0,0,1,0,,,,,,
1878a,0,0,0,1,0,0,0,0,,,,,,
1879a,0,0,0,0,1,0,1,0,,,,,,
1880a,0,1,1,0,0,0,0,0,,,,,,
1881a,0,0,0,1,0,0,0,0,,,,,,
1882a,0,0,0,0,0,1,0,0,,,,,,
1883a,1,0,0,0,0,0,0,0,,,,,,
1884a,0,0,1,0,0,0,0,0,,,,,,
1885a,0,0,0,1,0,0,0,0,,,,,,
1886a,0,0,0,0,1,0,0,0,,,,,,
1887a,0,0,0,0,0,1,0,0,,,,,,
1888a,0,0,0,0,1,0,1,0,,,,,,
1889a,1,0,0,0,1,0,0,0,,,,,,
1890a,0,1,1,0,0,0,1,0,,,,,,
1891a,0,0,0,1,0,0,0,0,,,,,,
1892a,0,0,0,0,1,0,1,0,,,,,,
1893a,0,0,0,0,0,0,1,0,,,,,,
1894a,0,0,1,0,0,0,0,0,,,,,,
1895a,0,0,0,1,0,0,0,0,,,,,,
1896a,0,0,0,0,0,0,1,0,,,,,,
1897a,0,0,1,0,0,0,0,0,,,,,,
1898a,0,0,0,1,0,0,0,0,,,,,,
1899a,0,0,0,0,1,0,0,0,,,,,,
1900a,0,1,1,0,0,0,0,0,,,,,,
1901a,0,0,0,1,0,0,0,0,,,,,,
1902a,0,0,0,0,0,1,0,0,,,,,,
1903a,0,0,1,0,0,0,1,0,,,,,,
1904a,0,0,0,1,0,0,0,0,,,,,,
1905a,0,0,0,0,1,0,1,0,,,,,,
1906a,0,0,0,0,0,1,1,0,,,,,,
1907a,0,0,0,1,0,0,0,0,,,,,,
1908a,0,0,0,0,1,0,1,0,,,,,,
1909a,0,0,0,0,0,1,0,0,,,,,,
1910a,0,0,0,0,1,0,1,0,,,,,,
1911a,1,0,0,0,0,0,0,0,,,,,,
1912a,0,1,1,0,0,0,0,0,,,,,,
1913a,0,1,0,1,0,0,0,0,,,,,,
1914a,0,0,0,0,1,0,0,0,,,,,,
1915a,0,0,0,0,0,1,0,0,,,,,,
1916a,0,0,1,0,0,0,0,0,,,,,,
1917a,0,0,0,0,0,1,0,0,,,,,,
1918a,0,0,0,0,0,0,1,0,,,,,,
1919a,0,1,0,0,1,1,1,0,,,,,,
1920a,0,0,1,0,1,0,0,0,,,,,,
1921a,0,1,1,1,0,0,0,0,,,,,,
1922a,0,0,0,0,0,1,0,0,,,,,,
1923a,0,0,0,0,1,0,0,0,,,,,,
1924a,0,0,0,0,0,1,1,0,,,,,,
1925a,1,1,0,0,0,0,1,0,,,,,,
1926a,0,1,1,0,0,0,0,0,,,,,,
1927a,0,0,0,0,1,0,0,0,,,,,,
1928a,0,0,0,0,1,0,1,0,,,,,,
1929a,1,0,0,0,0,0,0,0,,,,,,
1930a,0,0,1,0,0,0,1,0,,,,,,
1931a,0,0,0,1,0,0,0,0,,,,,,
1932a,0,0,0,0,1,0,0,0,,,,,,
1933a,0,0,0,0,0,0,1,0,,,,,,
1934a,1,0,0,0,0,0,0,0,,,,,,
1935a,0,0,1,0,0,0,0,0,,,,,,
1936a,0,0,0,1,0,0,0,0,,,,,,
1937a,0,0,0,0,1,1,1,0,,,,,,
1938a,0,1,0,0,0,1,1,0,,,,,,
1939a,0,0,0,0,0,0,1,0,,,,,,
1940a,1,0,0,0,0,0,0,0,,,,,,
1941a,0,0,1,0,0,0,0,0,,,,,,
1942a,0,0,0,1,0,0,0,0,,,,,,
1943a,0,0,0,0,1,1,1,0,,,,,,
1944a,0,0,0,0,0,1,1,0,,,,,,
1945a,1,0,0,0,0,0,0,0,,,,,,
1946a,0,1,1,0,0,0,1,0,,,,,,
1947a,0,0,0,1,0,0,1,0,,,,,,
1948a,0,0,0,0,1,1,1,0,,,,,,
1949a,0,0,0,0,1,1,1,0,,,,,,
1950a,1,0,0,0,0,0,0,0,,,,,,
1951a,0,0,0,1,0,0,0,0,,,,,,
1952a,0,0,0,0,1,0,0,0,,,,,,
1953a,0,0,0,0,1,0,1,0,,,,,,
1954a,1,0,0,0,0,0,0,0,,,,,,
1955a,0,0,1,0,0,0,0,0,,,,,,
1956a,0,0,0,1,0,0,0,0,,,,,,
1957a,0,0,0,0,1,1,1,0,,,,,,
1958a,0,0,0,0,0,1,1,0,,,,,,
1959a,1,0,0,0,0,0,0,0,,,,,,
1960a,0,0,1,0,0,1,0,0,,,,,,
1961a,0,0,0,1,0,0,0,0,,,,,,
1962a,0,0,0,0,0,1,0,0,,,,,,
1963a,1,0,0,0,0,0,0,0,,,,,,
1964a,0,1,0,0,1,0,0,0,,,,,,
1965a,0,0,1,0,0,0,0,0,,,,,,
1966a,0,0,0,1,0,0,0,0,,,,,,
1967a,1,0,0,0,0,0,0,0,,,,,,
1968a,0,1,0,0,0,0,0,0,,,,,,
1969a,0,0,1,0,0,0,0,0,,,,,,
1970a,0,0,0,1,0,0,0,0,,,,,,
1971a,0,0,0,0,0,0,1,0,,,,,,
1972a,1,0,0,0,1,0,0,0,,,,,,
1973a,0,0,1,0,0,0,1,0,,,,,,
1974a,0,0,0,1,0,0,0,0,,,,,,
1975a,0,0,0,0,1,0,1,0,,,,,,
1976a,0,0,0,0,1,1,0,0,,,,,,
1977a,1,0,0,0,0,0,0,0,,,,,,
1978a,0,0,1,0,0,0,0,0,,,,,,
1979a,0,0,0,1,0,0,0,0,,,,,,
1980a,0,0,0,0,1,0,1,0,,,,,,
1981a,0,0,0,1,0,0,0,0,,,,,,
1982a,0,0,0,0,0,0,1,0,,,,,,
1983a,0,1,0,0,0,0,1,0,,,,,,
1984a,0,0,1,0,1,0,0,0,,,,,,
1985a,0,0,0,1,0,0,1,0,,,,,,
1986a,0,0,0,0,0,1,0,0,,,,,,
1987a,1,0,0,0,0,0,0,0,,,,,,
1988a,0,1,0,0,1,0,0,0,,,,,,
1989a,0,0,0,1,0,0,0,0,,,,,,
1990a,0,0,0,0,1,0,0,0,,,,,,
1991a,0,0,0,0,1,1,1,0,,,,,,
1992a,0,0,0,0,0,0,1,0,,,,,,
1993a,1,0,0,0,0,0,0,0,,,,,,
1994a,0,1,0,0,0,0,1,0,,,,,,
1995a,0,1,1,0,0,0,0,0,,,,,,
1996a,0,0,0,1,0,0,0,0,,,,,,
1997a,0,0,0,0,1,0,0,0,,,,,,
1998a,0,0,0,0,0,1,1,0,,,,,,
1999a,0,0,0,0,0,0,1,0,,,,,,
2000a,1,0,0,0,0,0,0,0,,,,,,
2001a,0,0,1,0,0,0,0,0,,,,,,
2002a,0,0,0,1,1,0,1,0,,,,,,
2003a,0,0,0,0,0,0,1,0,,,,,,
2004a,1,0,0,0,0,0,0,0,,,,,,
2005a,0,0,0,1,0,0,0,0,,,,,,
2006a,1,0,0,0,0,0,0,0,,,,,,
2007a,0,1,0,0,0,0,0,0,,,,,,
2008a,0,0,1,0,0,0,0,0,,,,,,
2009a,0,0,0,0,1,0,1,0,,,,,,
2010a,1,0,0,0,0,0,0,0,,,,,,
2011a,0,1,0,0,1,0,0,0,,,,,,
2012a,0,1,1,0,0,0,0,0,,,,,,
2013a,0,0,0,1,0,0,0,0,,,,,,
2014a,0,0,0,0,0,0,1,0,,,,,,
2015a,0,0,0,0,0,1,0,0,,,,,,
2016a,0,0,0,0,0,0,1,0,,,,,,
2017a,1,0,0,0,0,0,0,0,,,,,,
2018a,0,0,1,0,0,0,0,0,,,,,,
2019a,0,0,0,0,1,0,0,0,,,,,,
2020a,0,0,0,0,1,1,0,0,,,,,,
2021a,1,0,0,0,0,0,0,0,,,,,,
2022a,0,0,1,0,0,0,0,0,,,,,,
2023a,0,0,0,0,1,0,1,0,,,,,,
2024a,1,0,0,0,0,0,0,0,,,,,,
2025a,0,0,0,1,0,0,0,0,,,,,,
2026a,1,0,0,0,0,0,0,0,,,,,,
2027a,0,0,1,0,0,0,1,0,,,,,,
2028a,0,0,0,1,0,0,0,0,,,,,,
2029a,0,0,0,0,1,0,0,0,,,,,,
2030a,0,0,0,0,0,1,0,0,,,,,,
2031a,0,1,0,0,1,0,1,0,,,,,,
2032a,0,0,1,0,0,0,1,0,,,,,,
2033a,0,0,0,0,1,0,1,0,,,,,,
2034a,0,0,0,0,1,1,1,0,,,,,,
2035a,0,0,0,0,0,0,1,0,,,,,,
2036a,1,0,0,0,0,0,0,0,,,,,,
2037a,0,0,1,0,0,0,0,0,,,,,,
2038a,0,0,0,1,0,0,0,0,,,,,,
2039a,0,0,0,0,1,0,1,0,,,,,,
2040a,0,0,0,0,0,1,1,0,,,,,,
2041a,0,0,0,0,1,1,1,0,,,,,,
2042a,1,0,0,0,0,0,0,0,,,,,,
2043a,0,0,1,0,0,0,0,0,,,,,,
2044a,0,0,0,1,0,0,0,0,,,,,,
2045a,0,0,0,0,0,1,1,0,,,,,,
2046a,0,0,0,0,0,0,1,0,,,,,,
2047a,1,0,0,0,0,0,0,0,,,,,,
2048a,0,0,1,0,0,0,0,0,,,,,,
2049a,0,0,0,1,0,0,0,0,,,,,,
2050a,1,0,0,0,0,0,0,0,,,,,,
2051a,0,0,1,0,0,0,1,0,,,,,,
2052a,0,0,0,1,0,0,0,0,,,,,,
2053a,0,0,0,0,1,1,1,0,,,,,,
2054a,0,0,0,0,1,0,1,0,,,,,,
2055a,1,0,0,0,0,0,0,0,,,,,,
2056a,0,1,1,0,1,0,0,0,,,,,,
2057a,0,0,0,1,1,0,0,0,,,,,,
2058a,0,0,0,0,1,0,1,0,,,,,,
2059a,0,0,0,0,0,0,1,0,,,,,,
2060a,1,0,0,0,0,0,0,0,,,,,,
2061a,0,0,1,0,1,0,0,0,,,,,,
2062a,0,0,0,1,1,0,1,0,,,,,,
2063a,1,0,0,0,0,0,0,0,,,,,,
2064a,0,0,0,1,0,0,0,0,,,,,,
2065a,0,0,0,0,1,1,1,0,,,,,,
2066a,0,0,0,0,0,1,0,0,,,,,,
2067a,1,0,0,0,0,0,0,0,,,,,,
2068a,0,1,1,0,1,0,1,0,,,,,,
2069a,0,0,0,1,0,0,0,0,,,,,,
2070a,0,0,0,0,0,1,1,0,,,,,,
2071a,1,0,0,0,0,0,0,0,,,,,,
2072a,0,0,1,0,0,0,0,0,,,,,,
2073a,0,0,0,1,0,0,0,0,,,,,,
2074a,0,0,0,0,0,0,1,0,,,,,,
2075a,1,0,0,0,0,0,0,0,,,,,,
2076a,0,0,1,0,0,0,1,0,,,,,,
2077a,0,0,0,0,0,1,0,0,,,,,,
2078a,1,0,0,0,0,0,0,0,,,,,,
2079a,1,0,0,1,1,0,0,0,,,,,,
2080a,0,0,0,0,1,1,1,0,,,,,,
2081a,0,1,0,0,0,0,0,0,,,,,,
2082a,0,0,1,0,0,0,0,0,,,,,,
2083a,0,0,0,1,0,0,0,0,,,,,,
2084a,0,0,0,0,0,1,0,0,,,,,,
2085a,0,0,0,0,1,0,1,0,,,,,,
2086a,0,0,0,0,0,0,1,0,,,,,,
2087a,0,1,0,0,1,0,1,0,,,,,,
2088a,0,0,1,0,1,0,1,0,,,,,,
2089a,0,0,0,0,1,0,1,0,,,,,,
2090a,0,0,0,0,0,1,1,0,,,,,,
2091a,0,0,0,0,0,1,1,0,,,,,,
2092a,1,0,0,0,0,0,0,0,,,,,,
2093a,0,1,1,0,0,0,1,0,,,,,,
2094a,0,0,0,1,0,0,0,0,,,,,,
2095a,0,0,0,0,1,0,0,0,,,,,,
2096a,1,0,0,0,1,0,1,0,,,,,,
2097a,0,1,1,0,0,0,1,0,,,,,,
2098a,0,0,0,0,1,0,1,0,,,,,,
2099a,0,0,0,0,0,1,1,0,,,,,,
2100a,0,0,0,0,0,0,1,0,,,,,,
2101a,1,0,0,0,0,0,0,0,,,,,,
2102a,0,1,1,0,0,0,0,0,,,,,,
2103a,0,0,0,1,0,0,0,0,,,,,,
2104a,0,0,0,0,1,1,1,0,,,,,,
2105a,0,0,0,0,0,0,1,0,,,,,,
2106a,1,0,0,0,0,0,0,0,,,,,,
2107a,0,0,1,0,0,0,0,0,,,,,,
2108a,0,0,0,1,0,0,0,0,,,,,,
2109a,0,0,0,0,1,1,1,0,,,,,,
2110a,1,0,0,0,0,0,0,0,,,,,,
2111a,0,0,1,0,0,0,1,0,,,,,,
2112a,0,0,0,1,1,0,0,0,,,,,,
2113a,0,1,0,0,1,1,1,0,,,,,,
2114a,1,0,0,0,0,0,0,0,,,,,,
2115a,0,1,0,0,0,0,0,0,,,,,,
2116a,1,0,1,0,0,0,0,0,,,,,,
2117a,0,0,0,1,0,1,1,0,,,,,,
2118a,0,0,0,0,0,1,1,0,,,,,,
2119a,0,1,0,0,0,0,1,0,,,,,,
2120a,0,0,1,0,0,0,1,0,,,,,,
2121a,0,0,0,0,1,0,0,0,,,,,,
2122a,0,0,0,0,1,1,0,0,,,,,,
2123a,0,0,0,0,1,1,1,0,,,,,,
2124a,0,1,0,0,0,0,1,0,,,,,,
2125a,0,1,1,0,1,0,1,0,,,,,,
2126a,0,0,0,1,1,0,0,0,,,,,,
2127a,0,0,0,0,1,0,1,0,,,,,,
2128a,0,0,0,0,0,1,1,0,,,,,,
2129a,0,0,0,0,0,0,1,0,,,,,,
2130a,0,1,1,0,0,0,1,0,,,,,,
2131a,0,0,0,1,0,0,0,0,,,,,,
2132a,0,0,0,0,0,1,0,0,,,,,,
2133a,0,0,0,1,0,0,1,0,,,,,,
2134a,0,0,0,0,1,0,0,0,,,,,,
2135a,0,0,0,0,1,1,1,0,,,,,,
2136a,0,1,0,0,0,0,0,0,,,,,,
2137a,0,0,0,1,0,0,0,0,,,,,,
2138a,0,0,0,0,1,0,0,0,,,,,,
2139a,0,0,0,0,0,1,0,0,,,,,,
2140a,1,0,0,0,0,0,0,0,,,,,,
2141a,0,1,1,0,0,0,0,0,,,,,,
2142a,0,0,0,1,0,0,0,0,,,,,,
2143a,0,0,0,0,1,0,0,0,,,,,,
2144a,0,0,0,0,0,0,1,0,,,,,,
2145a,0,0,1,0,1,1,1,0,,,,,,
2146a,0,0,0,1,0,0,0,0,,,,,,
2147a,0,0,0,0,0,1,1,0,,,,,,
2148a,0,1,0,0,1,0,1,0,,,,,,
2149a,0,0,1,0,0,0,0,0,,,,,,
2150a,0,0,0,1,0,0,0,0,,,,,,
2151a,0,0,0,0,1,0,0,0,,,,,,
2152a,0,0,0,0,0,0,1,0,,,,,,
2153a,0,1,1,0,0,0,1,0,,,,,,
2154a,0,0,0,1,0,0,0,0,,,,,,
2155a,0,0,0,0,1,0,0,0,,,,,,
2156a,1,0,0,0,0,0,0,0,,,,,,
2157a,1,1,1,0,0,0,0,0,,,,,,
2158a,0,0,0,1,0,0,0,0,,,,,,
2159a,0,0,0,0,1,0,0,0,,,,,,
2160a,1,0,0,0,0,0,0,0,,,,,,
2161a,0,0,0,1,0,0,0,0,,,,,,
2162a,0,0,0,0,1,0,1,0,,,,,,
2163a,1,0,0,0,0,0,0,0,,,,,,
2164a,0,0,1,0,1,0,1,0,,,,,,
2165a,0,0,0,1,0,0,0,0,,,,,,
2166a,0,0,0,0,1,0,0,0,,,,,,
2167a,1,0,0,0,0,0,0,0,,,,,,
2168a,0,1,0,0,0,0,1,0,,,,,,
2169a,0,0,0,1,1,0,1,0,,,,,,
2170a,0,0,0,0,1,0,0,0,,,,,,
2171a,0,0,0,0,0,1,1,0,,,,,,
2172a,0,0,0,0,0,0,1,0,,,,,,
2173a,0,0,1,0,1,0,0,0,,,,,,
2174a,0,0,0,1,1,0,1,0,,,,,,
2175a,0,0,0,0,1,0,0,0,,,,,,
2176a,0,0,0,0,0,1,0,0,,,,,,
2177a,0,0,0,0,1,0,1,0,,,,,,
2178a,1,0,0,0,0,0,0,0,,,,,,
2179a,0,0,1,0,0,0,0,0,,,,,,
2180a,0,0,0,1,0,0,0,0,,,,,,
2181a,0,0,0,0,1,0,1,0,,,,,,
2182a,1,0,0,0,0,0,0,0,,,,,,
2183a,0,0,1,0,0,0,0,0,,,,,,
2184a,0,0,0,1,0,0,0,0,,,,,,
2185a,0,0,0,0,1,0,0,0,,,,,,
2186a,0,0,0,0,0,1,0,0,,,,,,
2187a,0,0,0,0,1,0,1,0,,,,,,
2188a,1,0,0,0,0,0,1,0,,,,,,
2189a,0,0,0,0,0,0,1,0,,,,,,
2190a,1,0,0,0,0,0,0,0,,,,,,
2191a,0,0,0,0,1,0,1,0,,,,,,
2192a,0,1,0,0,1,0,1,0,,,,,,
2193a,1,0,0,0,0,0,0,0,,,,,,
2194a,0,1,0,0,0,0,0,0,,,,,,
2195a,0,0,1,0,0,1,0,0,,,,,,
2196a,0,0,0,1,0,0,1,0,,,,,,
2197a,0,0,0,0,0,0,1,0,,,,,,
2198a,1,0,0,0,1,0,1,0,,,,,,
2199a,0,0,1,0,0,1,0,0,,,,,,
2200a,0,0,0,0,1,0,1,0,,,,,,
2201a,1,0,0,0,0,0,1,0,,,,,,
2202a,0,1,0,0,1,0,0,0,,,,,,
2203a,0,0,1,0,0,0,0,0,,,,,,
2204a,0,0,0,0,0,1,0,0,,,,,,
2205a,0,1,0,0,1,0,1,0,,,,,,
2206a,0,1,0,0,0,0,1,0,,,,,,
2207a,0,0,1,0,0,0,0,0,,,,,,
2208a,0,0,0,0,1,0,1,0,,,,,,
2209a,1,0,0,0,0,0,0,0,,,,,,
2210a,1,0,0,0,1,0,1,0,,,,,,
2211a,0,0,0,0,0,1,1,0,,,,,,
2212a,1,1,0,0,0,0,0,0,,,,,,
2213a,0,1,0,0,1,0,1,0,,,,,,
2214a,0,0,0,0,1,0,0,0,,,,,,
2215a,0,0,0,0,1,0,1,0,,,,,,
2216a,1,1,1,0,0,0,0,0,,,,,,
2217a,0,0,0,0,1,0,0,0,,,,,,
2218a,0,0,0,0,0,1,1,0,,,,,,
2219a,0,0,1,0,0,0,0,0,,,,,,
2220a,0,0,0,0,1,0,1,0,,,,,,
2221a,0,0,0,0,0,1,1,0,,,,,,
2222a,0,1,0,0,0,0,1,0,,,,,,
2223a,1,0,0,0,0,0,1,0,,,,,,
2224a,0,1,0,0,1,0,0,0,,,,,,
2225a,0,0,1,0,0,0,0,0,,,,,,
2226a,1,0,0,0,1,0,1,0,,,,,,
2227a,0,1,1,0,0,0,0,0,,,,,,
2228a,0,0,0,0,1,0,0,0,,,,,,
2229a,0,0,0,0,0,0,1,0,,,,,,
2230a,1,0,0,0,1,0,0,0,,,,,,
2231a,0,1,1,0,0,0,0,0,,,,,,
2232a,0,0,0,0,1,0,0,0,,,,,,
